{-0.6, 0., 0., 0., -0.011260515124335103, 0., 0., 0., 0., 0.}
{0., -0.6, -0.08796382268124332, 0., 0., -0.18674788849521717, 0., -0.22390236757820528, 0., 0.}
{0., -0.09357361016215152, -0.6, 0., 0., 0., 0., 0., 0., 0.}
{0., 0., 0., -0.6, -0.3242932542198452, 0., 0.1271159225973372, 0., -0.1166609102618164, 0.}
{0., -0.08884685208371407, 0., 0.053994694392236024, -0.6, -0.17021806761645006, 0., -0.3490933140351075, 0., 0.}
{0., 0., 0., 0., -0.005787799118474802, -0.6, 0., 0., 0., 0.09949740200584968}
{0.15210605571886351, 0., 0., -0.13090682155861846, 0., 0., -0.6, 0.2078968637692734, 0., 0.}
{0.2133052640778367, 0., 0.055949369779715666, -0.13635082704737933, 0., -0.18615287212500392, 0.26105352008810695, -0.6, 0.4253950390538344, 0.}
{0., -0.45825927607785266, -0.16445272726533902, 0., 0., -0.021439354683442723, 0., 0.5658120252765233, -0.6, 0.}
{0., 0., 0., -0.026613173664018608, 0., 0., 0.1029841413091365, 0., 0., -0.6}
